Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,20,1,20,32,32,128,0.0232955,0.0094062218148367,0.00287525,0.0355769718148367,0.010106,1.583184872593471,631.6381727181771,324.29956322899847,348.0281204835681,1.0
Llama2-13B,20,1,20,32,32,256,0.0244155,0.0094062218148367,0.00342525,0.0372469718148367,0.010106,1.6499848725934707,606.0661625510452,324.78690048215907,332.5622048311104,1.0
Llama2-13B,20,1,20,32,32,384,0.025498,0.0094062218148367,0.00397525,0.0388794718148367,0.010106,1.7152848725934708,582.9935400106591,325.2738419658187,318.9209369027165,1.0
Llama2-13B,20,1,20,32,32,512,0.026613,0.0094062218148367,0.00452525,0.0405444718148367,0.010106,1.781884872593471,561.2034847933442,325.761133428329,306.01692164386674,1.0
Llama2-13B,20,1,20,32,32,640,0.0277755,0.0094062218148367,0.00507525,0.0422569718148367,0.010106,1.8503848725934708,540.4281102873563,326.2489597956404,293.64814296379944,1.0
Llama2-13B,20,1,20,32,32,768,0.0288955,0.0094062218148367,0.00562525,0.0439269718148367,0.010106,1.917184872593471,521.5981068363274,326.73629704880085,282.6878727213589,1.0
Llama2-13B,20,1,20,32,32,896,0.029978,0.0094062218148367,0.00617525,0.0455594718148367,0.010106,1.982484872593471,504.41746811001286,327.2232385324605,272.88614861937134,1.0
Llama2-13B,20,1,20,32,32,1024,0.031093,0.0094062218148367,0.00672525,0.0472244718148367,0.010106,2.049084872593471,488.02273316006045,327.710529994971,263.4922088532557,1.0
Llama2-13B,20,1,20,32,32,1152,0.0336455,0.0094062218148367,0.00727525,0.0503269718148367,0.010106,2.1731848725934717,460.1541325872582,329.5100057415575,244.839581624257,1.0
Llama2-13B,20,1,20,32,32,1280,0.0347655,0.0094062218148367,0.00782525,0.0519969718148367,0.010106,2.2399848725934706,446.431586317899,329.997342994718,237.30231335283403,1.0
Llama2-13B,20,1,20,32,32,1408,0.035848,0.0094062218148367,0.0083752499999999,0.0536294718148367,0.010106,2.3052848725934707,433.7858682406522,330.48428447837773,230.47609662908505,1.0
Llama2-13B,20,1,20,32,32,1536,0.036963,0.0094062218148367,0.00892525,0.0552944718148367,0.010106,2.371884872593471,421.6056232554736,330.9715759408881,223.85329649980252,1.0
Llama2-13B,20,1,20,32,32,1664,0.0381255,0.0094062218148367,0.00947525,0.0570069718148367,0.010106,2.4403848725934707,409.7714304126422,331.45940230819946,217.3475772830517,1.0
Llama2-13B,20,1,20,32,32,1792,0.0392455,0.0094062218148367,0.01002525,0.0586769718148367,0.010106,2.507184872593471,398.8537147504342,331.94673956136006,211.45528758797823,1.0
Llama2-13B,20,1,20,32,32,1920,0.040328,0.0094062218148367,0.0105752499999999,0.0603094718148367,0.010106,2.5724848725934706,388.7292052340981,332.4336810450197,206.0811849366567,1.0
Llama2-13B,20,1,20,32,32,2048,0.041443,0.0094062218148367,0.01112525,0.0619744718148367,0.010106,2.639084872593471,378.91922703390895,332.92097250753,200.8306423928831,1.0
Llama2-13B,20,1,20,32,32,2176,0.0439635,0.0094062218148367,0.0116752499999999,0.0650449718148367,0.010106,2.7619048725934707,362.0689510066235,334.6393620725752,190.29385858301504,1.0
Llama2-13B,20,1,20,32,32,2304,0.0450835,0.0094062218148367,0.01222525,0.0667149718148367,0.010106,2.8287048725934705,353.5186755213384,335.12669932573573,185.83666936114983,1.0
Llama2-13B,20,1,20,32,32,2432,0.046166,0.0094062218148367,0.0127752499999999,0.0683474718148367,0.010106,2.894004872593471,345.5419199428808,335.61364080939546,181.74286315112613,1.0
Llama2-13B,20,1,20,32,32,2560,0.047281,0.0094062218148367,0.01332525,0.0700124718148367,0.010106,2.960604872593471,337.76881516918075,336.1009322719059,177.71458528367938,1.0
Llama2-13B,20,1,20,32,32,2688,0.0484435,0.0094062218148367,0.0138752499999999,0.0717249718148367,0.010106,3.029104872593471,330.1305309854842,336.5887586392172,173.70171366603222,1.0
Llama2-13B,20,1,20,32,32,2816,0.0495635,0.0094062218148367,0.01442525,0.0733949718148367,0.010106,3.0959048725934712,323.00734071402195,337.0760958923776,170.02234300058396,1.0
Llama2-13B,20,1,20,32,32,2944,0.050646,0.0094062218148367,0.0149752499999999,0.0750274718148367,0.010106,3.1612048725934705,316.3350811804849,337.56303737603747,166.628676191623,1.0
Llama2-13B,20,1,20,32,32,3072,0.051761,0.0094062218148367,0.01552525,0.0766924718148367,0.010106,3.227804872593471,309.8080706460182,338.05032883854784,163.27463188430858,1.0
Llama2-13B,20,1,20,32,32,3200,0.0542815,0.0094062218148367,0.01607525,0.0797629718148367,0.010106,3.350624872593471,298.4517927326117,339.768718403593,156.48458425227426,1.0
Llama2-13B,20,1,20,32,32,3328,0.0554015,0.0094062218148367,0.0166252499999999,0.0814329718148367,0.010106,3.417424872593471,292.6179908209961,340.2560556567534,153.54099422251812,1.0
Llama2-13B,20,1,20,32,32,3456,0.056484,0.0094062218148367,0.01717525,0.0830654718148367,0.010106,3.4827248725934714,287.131495189091,340.7429971404133,150.81394604685102,1.0
Llama2-13B,20,1,20,32,32,3584,0.057599,0.0094062218148367,0.01772525,0.0847304718148367,0.010106,3.5493248725934707,281.7437219460009,341.2302886029236,148.10599515743482,1.0
Llama2-13B,20,1,20,32,32,3712,0.0587615,0.0094062218148367,0.01827525,0.0864429718148367,0.010106,3.617824872593472,276.40917822623646,341.718114970235,145.38350576918344,1.0
Llama2-13B,20,1,20,32,32,3840,0.0598815,0.0094062218148367,0.01882525,0.0881129718148367,0.010106,3.684624872593471,271.3980485335369,342.2054522233955,142.8677689367315,1.0
Llama2-13B,20,1,20,32,32,3968,0.060964,0.0094062218148367,0.01937525,0.0897454718148367,0.010106,3.749924872593471,266.6720091670514,342.6923937070552,140.53063845345417,1.0
Llama2-13B,20,1,20,32,32,4096,0.062079,0.0094062218148367,0.01992525,0.0914104718148367,0.010106,3.816524872593471,262.0184679473772,343.1796851695657,138.20280818375193,1.0
Llama2-13B,20,2,10,32,32,128,0.0244845,0.0091337434387207,0.00287525,0.0364934934387207,0.0118385,1.6215782375488283,1233.3663302137013,184.3769456296478,376.51768594344975,1.0
Llama2-13B,20,2,10,32,32,256,0.0256045,0.0091337434387207,0.00342525,0.0381634934387207,0.0118385,1.688378237548828,1184.5686917308185,184.85414719545037,360.97980276016,1.0
Llama2-13B,20,2,10,32,32,384,0.026687,0.0091337434387207,0.00397525,0.0397959934387207,0.0118385,1.753678237548828,1140.4600668338471,185.330952991752,347.23077339482137,1.0
Llama2-13B,20,2,10,32,32,512,0.027802,0.0091337434387207,0.00452525,0.0414609934387207,0.0118385,1.820278237548828,1098.7331270263296,185.80810876690435,334.1632054652622,1.0
Llama2-13B,20,2,10,32,32,640,0.0289645,0.0091337434387207,0.00507525,0.0431734934387207,0.0118385,1.888778237548828,1058.8855590561602,186.2857994468577,321.5760662998805,1.0
Llama2-13B,20,2,10,32,32,768,0.0300845,0.0091337434387207,0.00562525,0.0448434934387207,0.0118385,1.955578237548828,1022.7154105104236,186.76300101266023,310.397382394024,1.0
Llama2-13B,20,2,10,32,32,896,0.031167,0.0091337434387207,0.00617525,0.0464759934387207,0.0118385,2.020878237548828,989.6687305742124,187.23980680896187,300.381504169413,1.0
Llama2-13B,20,2,10,32,32,1024,0.032282,0.0091337434387207,0.00672525,0.0481409934387207,0.0118385,2.087478237548828,958.0938205844255,187.7169625841142,290.745558800747,1.0
Llama2-13B,20,2,10,32,32,1152,0.0348345,0.0091337434387207,0.00727525,0.0512434934387207,0.0118385,2.211578237548828,904.3315610740826,189.5063026433428,272.0095058682381,1.0
Llama2-13B,20,2,10,32,32,1280,0.0359545,0.0091337434387207,0.00782525,0.0529134934387207,0.0118385,2.278378237548828,877.817373357499,189.9835042091452,264.1998973830052,1.0
Llama2-13B,20,2,10,32,32,1408,0.037037,0.0091337434387207,0.0083752499999999,0.0545459934387207,0.0118385,2.343678237548828,853.3594620444703,190.46031000544693,257.1216756290291,1.0
Llama2-13B,20,2,10,32,32,1536,0.038152,0.0091337434387207,0.00892525,0.0562109934387207,0.0118385,2.410278237548828,829.7797195538441,190.93746578059927,250.2325772968643,1.0
Llama2-13B,20,2,10,32,32,1664,0.0393145,0.0091337434387207,0.00947525,0.0579234934387207,0.0118385,2.478778237548828,806.8491040076768,191.41515646055268,243.44091424353945,1.0
Llama2-13B,20,2,10,32,32,1792,0.0404345,0.0091337434387207,0.01002525,0.0595934934387206,0.0118385,2.545578237548828,785.6761071016334,191.8923580263552,237.2879076362452,1.0
Llama2-13B,20,2,10,32,32,1920,0.041517,0.0091337434387207,0.0105752499999999,0.0612259934387206,0.0118385,2.610878237548828,766.0257652910161,192.3691638226568,231.6751738115192,1.0
Llama2-13B,20,2,10,32,32,2048,0.042632,0.0091337434387207,0.01112525,0.0628909934387207,0.0118385,2.6774782375488284,746.9715241573562,192.8463195978092,226.17554841176715,1.0
Llama2-13B,20,2,10,32,32,2176,0.0451525,0.0091337434387207,0.0116752499999999,0.0659614934387207,0.0118385,2.800298237548828,714.2096413811447,194.5545734754964,215.4416405243302,1.0
Llama2-13B,20,2,10,32,32,2304,0.0462725,0.0091337434387207,0.01222525,0.0676314934387207,0.0118385,2.8670982375488285,697.5694009389306,195.03177504129889,210.74263876092587,1.0
Llama2-13B,20,2,10,32,32,2432,0.047355,0.0091337434387207,0.0127752499999999,0.0692639934387207,0.0118385,2.932398237548828,682.0356029376782,195.5085808376005,206.42865678133307,1.0
Llama2-13B,20,2,10,32,32,2560,0.04847,0.0091337434387207,0.01332525,0.0709289934387207,0.0118385,2.998998237548828,666.8893549049434,195.98573661275293,202.1722061200257,1.0
Llama2-13B,20,2,10,32,32,2688,0.0496325,0.0091337434387207,0.0138752499999999,0.0726414934387207,0.0118385,3.067498237548828,651.9971146252905,196.46342729270629,197.91812551524336,1.0
